Country;Percentile Label;Percentile;Year;Value
East Asia;Top 1%;p99p100;1995;0.4274
East Asia;Top 1%;p99p100;1996;0.4345
East Asia;Top 1%;p99p100;1997;0.4088
East Asia;Top 1%;p99p100;1998;0.3934
East Asia;Top 1%;p99p100;1999;0.3791
East Asia;Top 1%;p99p100;2000;0.3657
East Asia;Top 1%;p99p100;2001;0.3611
East Asia;Top 1%;p99p100;2002;0.3464
East Asia;Top 1%;p99p100;2003;0.3485
East Asia;Top 1%;p99p100;2004;0.3525
East Asia;Top 1%;p99p100;2005;0.3534
East Asia;Top 1%;p99p100;2006;0.3539
East Asia;Top 1%;p99p100;2007;0.3639
East Asia;Top 1%;p99p100;2008;0.3312
East Asia;Top 1%;p99p100;2009;0.3283
East Asia;Top 1%;p99p100;2010;0.3253
East Asia;Top 1%;p99p100;2011;0.3159
East Asia;Top 1%;p99p100;2012;0.3067
East Asia;Top 1%;p99p100;2013;0.303
East Asia;Top 1%;p99p100;2014;0.3049
East Asia;Top 1%;p99p100;2015;0.3117
East Asia;Top 1%;p99p100;2016;0.3088
East Asia;Top 1%;p99p100;2017;0.3103
East Asia;Top 1%;p99p100;2018;0.3087
East Asia;Top 1%;p99p100;2019;0.3014
East Asia;Top 1%;p99p100;2020;0.3019
East Asia;Top 1%;p99p100;2021;0.3067
East Asia;Top 1%;p99p100;2022;0.3035
East Asia;Top 1%;p99p100;2023;0.2988
East Asia;Bottom 50%;p0p50;1995;0.0343
East Asia;Bottom 50%;p0p50;1996;0.0341
East Asia;Bottom 50%;p0p50;1997;0.0401
East Asia;Bottom 50%;p0p50;1998;0.0448
East Asia;Bottom 50%;p0p50;1999;0.0519
East Asia;Bottom 50%;p0p50;2000;0.055
East Asia;Bottom 50%;p0p50;2001;0.0573
East Asia;Bottom 50%;p0p50;2002;0.0613
East Asia;Bottom 50%;p0p50;2003;0.0578
East Asia;Bottom 50%;p0p50;2004;0.0546
East Asia;Bottom 50%;p0p50;2005;0.0526
East Asia;Bottom 50%;p0p50;2006;0.0501
East Asia;Bottom 50%;p0p50;2007;0.048
East Asia;Bottom 50%;p0p50;2008;0.0486
East Asia;Bottom 50%;p0p50;2009;0.0485
East Asia;Bottom 50%;p0p50;2010;0.0477
East Asia;Bottom 50%;p0p50;2011;0.0442
East Asia;Bottom 50%;p0p50;2012;0.0462
East Asia;Bottom 50%;p0p50;2013;0.0467
East Asia;Bottom 50%;p0p50;2014;0.048
East Asia;Bottom 50%;p0p50;2015;0.049
East Asia;Bottom 50%;p0p50;2016;0.05
East Asia;Bottom 50%;p0p50;2017;0.0493
