Country;Percentile Label;Percentile;Year;Value
East Asia;Top 1%;p99p100;1950;0.1227
East Asia;Top 1%;p99p100;1951;
East Asia;Top 1%;p99p100;1952;
East Asia;Top 1%;p99p100;1953;
East Asia;Top 1%;p99p100;1954;
East Asia;Top 1%;p99p100;1955;
East Asia;Top 1%;p99p100;1956;
East Asia;Top 1%;p99p100;1957;
East Asia;Top 1%;p99p100;1958;
East Asia;Top 1%;p99p100;1959;
East Asia;Top 1%;p99p100;1960;0.1374
East Asia;Top 1%;p99p100;1961;
East Asia;Top 1%;p99p100;1962;
East Asia;Top 1%;p99p100;1963;
East Asia;Top 1%;p99p100;1964;
East Asia;Top 1%;p99p100;1965;
East Asia;Top 1%;p99p100;1966;
East Asia;Top 1%;p99p100;1967;
East Asia;Top 1%;p99p100;1968;
East Asia;Top 1%;p99p100;1969;
East Asia;Top 1%;p99p100;1970;0.1792
East Asia;Top 1%;p99p100;1971;
East Asia;Top 1%;p99p100;1972;
East Asia;Top 1%;p99p100;1973;
East Asia;Top 1%;p99p100;1974;
East Asia;Top 1%;p99p100;1975;
East Asia;Top 1%;p99p100;1976;
East Asia;Top 1%;p99p100;1977;
East Asia;Top 1%;p99p100;1978;
East Asia;Top 1%;p99p100;1979;
East Asia;Top 1%;p99p100;1980;0.199
East Asia;Top 1%;p99p100;1981;0.1968
East Asia;Top 1%;p99p100;1982;0.193
East Asia;Top 1%;p99p100;1983;0.1935
East Asia;Top 1%;p99p100;1984;0.1935
East Asia;Top 1%;p99p100;1985;0.198
East Asia;Top 1%;p99p100;1986;0.2001
East Asia;Top 1%;p99p100;1987;0.2115
East Asia;Top 1%;p99p100;1988;0.2172
East Asia;Top 1%;p99p100;1989;0.2246
East Asia;Top 1%;p99p100;1990;0.2359
East Asia;Top 1%;p99p100;1991;0.2274
East Asia;Top 1%;p99p100;1992;0.201
East Asia;Top 1%;p99p100;1993;0.1986
East Asia;Top 1%;p99p100;1994;0.1943
East Asia;Top 1%;p99p100;1995;0.1937
East Asia;Top 1%;p99p100;1996;0.1977
East Asia;Top 1%;p99p100;1997;0.1946
East Asia;Top 1%;p99p100;1998;0.1985
East Asia;Top 1%;p99p100;1999;0.1981
East Asia;Top 1%;p99p100;2000;0.2007
East Asia;Top 1%;p99p100;2001;0.2143
East Asia;Top 1%;p99p100;2002;0.2131
East Asia;Top 1%;p99p100;2003;0.2186
East Asia;Top 1%;p99p100;2004;0.2192
East Asia;Top 1%;p99p100;2005;0.2186
East Asia;Top 1%;p99p100;2006;0.2011
East Asia;Top 1%;p99p100;2007;0.2104
East Asia;Top 1%;p99p100;2008;0.1936
East Asia;Top 1%;p99p100;2009;0.1972
East Asia;Top 1%;p99p100;2010;0.1953
East Asia;Top 1%;p99p100;2011;0.1845
East Asia;Top 1%;p99p100;2012;0.1786
East Asia;Top 1%;p99p100;2013;0.1746
East Asia;Top 1%;p99p100;2014;0.174
East Asia;Top 1%;p99p100;2015;0.1729
East Asia;Top 1%;p99p100;2016;0.1715
East Asia;Top 1%;p99p100;2017;0.1791
East Asia;Top 1%;p99p100;2018;0.1765
East Asia;Top 1%;p99p100;2019;0.1702
East Asia;Top 1%;p99p100;2020;0.177
East Asia;Top 1%;p99p100;2021;0.1761
East Asia;Top 1%;p99p100;2022;0.178
East Asia;Top 1%;p99p100;2023;0.1763
East Asia;Bottom 50%;p0p50;1950;0.1935
East Asia;Bottom 50%;p0p50;1951;
